id,id_maquina,id_operador,fecha,turno,uploaded_at,created_at
01123406-f6e1-46f2-b749-708ac1803e8d,10003,600,2026-04-21,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
01fa7ed2-e6d2-419b-90e0-78d2d9dd0dc4,9996,511,2026-04-20,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
02303ea2-cc8c-4f8a-98db-c8777e952d9b,9998,501,2026-04-21,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
04f2e2bf-1b80-4122-8370-30b25fc32fe5,9996,509,2026-04-20,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
05eff508-6682-46ed-bb7e-dc843f1a2ec4,10001,507,2026-04-20,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0631d9ce-a0e6-42fd-870e-3b372bc9da02,MAQ-5357,613,2026-04-22,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
06fbe898-7613-4fc8-bb1c-c2fe9941f60b,9992,609,2026-04-26,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0727754c-7bfe-4149-af2b-2bc1847df955,10000,502,2026-04-25,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
07eb8022-fc24-4c4f-b407-82589f8cf555,10004,512,2026-04-22,Tarde,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
08e5349f-e31a-4fd7-87ba-8aff8786e6d1,MAQ-9758,613,2026-04-23,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
096765fc-3369-4545-b495-e153170e9bb2,9993,505,2026-04-24,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
096f2086-15a0-418e-a35a-26248cb181b4,9995,509,2026-04-23,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
09779309-c64e-4719-81ff-a78a0ca95349,MAQ-5357,608,2026-04-25,Tarde,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0b6746ce-f9b2-45b1-b126-a6cec96fae0f,9991,616,2026-04-26,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0d7c7986-6283-406d-8584-c6efdc2a0ede,9994,600,2026-04-21,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0db177e9-1add-4951-93d4-8a2487b9fe26,9994,601,2026-04-26,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0e23577e-c5ca-4010-808b-f10bdc38bd89,9994,601,2026-04-21,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0eb146d3-4085-489c-9aa0-c8343bd05ca0,9997,514,2026-04-24,Noche,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
0ee73c13-b8f5-4385-bc3c-868875cc4110,9991,609,2026-04-20,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0f6f970b-6641-42d1-89b2-e5e0f1b5f138,10000,502,2026-04-20,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
0fa6ba89-749f-4141-8744-4e0118fb5153,9996,513,2026-04-24,Mañana,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
0ff093dd-ffe9-4a73-aa8c-44670d117f72,10004,514,2026-04-24,Noche,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
138806d7-2eaa-445b-a755-a08b025ae338,MAQ-5357,605,2026-04-21,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
155d853b-30b1-4703-bb40-c69170dfa702,9992,614,2026-04-21,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
162a83e3-3b91-467a-a328-1de0303f943d,9992,610,2026-04-21,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
168b2183-78cf-4609-b618-60eb91352738,10003,617,2026-04-20,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1743db31-d7d2-4c4f-86f4-5cb824bf8166,9997,513,2026-04-21,Mañana,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
194c10e5-198c-4502-952d-032f0f888af3,9994,600,2026-04-23,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
195c1c91-7844-4c14-ab08-41dcc4dcebdf,9998,502,2026-04-25,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1985c0ed-6018-4428-97b4-30a0ccbd0122,9993,505,2026-04-22,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1a107ed9-b91f-4574-8715-2409c09bee70,10003,602,2026-04-23,Tarde,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1aca7cce-222b-456f-b735-0660be6e892d,9997,512,2026-04-22,Tarde,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
1cdaa036-4d1b-4f31-978e-c68694003b07,9993,503,2026-04-22,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1ddecd8b-d682-4221-a224-3b8981460c4b,9999,504,2026-04-23,Tarde,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1df7c7f8-e604-4140-a469-ab20fdfcea1b,MAQ-9758,615,2026-04-26,Mañana,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
1f2aee10-eee9-4070-96ac-1c0efbd5ba5c,10004,513,2026-04-20,Mañana,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
20a2200e-dbab-4979-a983-e4ca5a61b860,10004,514,2026-04-23,Noche,2026-04-19 21:49:18.097141+00,2026-04-19 21:49:18.097141+00
22d29311-b08c-4779-a34b-37758707533a,9998,501,2026-04-23,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
22e83b1b-7204-44da-b73a-d5e379d55c05,9994,612,2026-04-26,Noche,2026-04-19 21:49:17.894876+00,2026-04-19 21:49:17.894876+00
