id,id_tarea,id_operador,fecha_periodo,fecha_registro,fecha_completado,fecha_limite,estado,fue_autogenerado,id_maquina,parsable_job_id,motivo_bloqueo,foto_evidencia,veces_aplazada,turno,created_at
015089d0-20ca-4988-88cd-a2ba8dc653f7,9994-1776658499174-947-12,601,2026-04-20,2026-04-20 12:00:00.3129+00,,2026-04-21 04:59:59+00,Atrasado,true,9994,,,,0,Mañana,2026-04-20 12:00:00.3129+00
01792921-61ab-4b8d-a10b-397ab5dc52ad,10001-1776661051633-451-16,,2026-04-21,2026-04-21 05:23:17.363044+00,,2026-04-21 14:00:00+00,Pendiente,true,10001,,,,0,Mañana,2026-04-21 05:23:17.363044+00
017f2c15-7066-44ac-8448-5c9c10fba5a5,9992-1776658470557-828-1,,2026-04-21,2026-04-21 05:24:46.403171+00,,2026-04-22 06:00:00+00,Pendiente,true,9992,,,,0,Noche,2026-04-21 05:24:46.403171+00
024c9185-5674-4724-ae46-293b3d8be17d,9992-1776658470557-595-46,,2026-04-21,2026-04-21 05:23:17.363044+00,,2026-04-21 14:00:00+00,Pendiente,true,9992,,,,0,Mañana,2026-04-21 05:23:17.363044+00
03c23716-db75-4cf5-b663-f64bb8ba0b2c,35,,2026-04-20,2026-04-20 12:00:00.3129+00,,2026-04-27 04:59:59+00,Pendiente,true,9991,,,,0,Mañana,2026-04-20 12:00:00.3129+00
0430e4f4-5251-47b8-9ae7-3fab2de0847f,9992-1776658470557-678-23,,2026-04-21,2026-04-21 05:23:17.363044+00,,2026-04-21 14:00:00+00,Pendiente,true,9992,,,,0,Mañana,2026-04-21 05:23:17.363044+00
049d7db9-920e-463c-9452-858cd28d800b,9998-1776661043000-183-12,,2026-04-21,2026-04-21 05:23:17.363044+00,,2026-04-21 14:00:00+00,Pendiente,true,9998,,,,0,Mañana,2026-04-21 05:23:17.363044+00
05ec1681-8831-4e9a-8606-f3c55077a6b3,9999-1776660986172-210-23,,2026-04-21,2026-04-21 05:23:17.363044+00,,2026-04-21 22:00:00+00,Pendiente,true,9999,,,,0,Tarde,2026-04-21 05:23:17.363044+00
064ec77b-315c-41c9-8d48-bf3abd2304da,10003-1776658481737-809-12,,2026-04-21,2026-04-21 05:24:46.403171+00,,2026-04-22 06:00:00+00,Pendiente,true,10003,,,,0,Noche,2026-04-21 05:24:46.403171+00
06dfa7a8-8332-43ee-81f6-11a1b4b8d08e,32,,2026-04-20,2026-04-20 12:00:00.3129+00,,2026-04-21 04:59:59+00,Atrasado,true,9991,,,,0,Mañana,2026-04-20 12:00:00.3129+00
